date,cumulative,daily
2020-01-22,0,
2020-01-23,0,0.0
2020-01-24,0,0.0
2020-01-25,0,0.0
2020-01-26,0,0.0
2020-01-27,0,0.0
2020-01-28,0,0.0
2020-01-29,0,0.0
2020-01-30,0,0.0
2020-01-31,0,0.0
2020-02-01,0,0.0
2020-02-02,0,0.0
2020-02-03,0,0.0
2020-02-04,0,0.0
2020-02-05,0,0.0
2020-02-06,0,0.0
2020-02-07,0,0.0
2020-02-08,0,0.0
2020-02-09,0,0.0
2020-02-10,0,0.0
2020-02-11,0,0.0
2020-02-12,0,0.0
2020-02-13,0,0.0
2020-02-14,0,0.0
2020-02-15,0,0.0
2020-02-16,0,0.0
2020-02-17,0,0.0
2020-02-18,0,0.0
2020-02-19,0,0.0
2020-02-20,0,0.0
2020-02-21,0,0.0
2020-02-22,0,0.0
2020-02-23,0,0.0
2020-02-24,0,0.0
2020-02-25,0,0.0
2020-02-26,0,0.0
2020-02-27,0,0.0
2020-02-28,0,0.0
2020-02-29,0,0.0
2020-03-01,0,0.0
2020-03-02,0,0.0
2020-03-03,0,0.0
2020-03-04,0,0.0
2020-03-05,0,0.0
2020-03-06,0,0.0
2020-03-07,0,0.0
2020-03-08,0,0.0
2020-03-09,0,0.0
2020-03-10,0,0.0
2020-03-11,0,0.0
2020-03-12,0,0.0
2020-03-13,0,0.0
2020-03-14,0,0.0
2020-03-15,0,0.0
2020-03-16,0,0.0
2020-03-17,0,0.0
2020-03-18,0,0.0
2020-03-19,0,0.0
2020-03-20,0,0.0
2020-03-21,0,0.0
2020-03-22,0,0.0
2020-03-23,0,0.0
2020-03-24,0,0.0
2020-03-25,0,0.0
2020-03-26,0,0.0
2020-03-27,0,0.0
2020-03-28,1,1.0
2020-03-29,1,0.0
2020-03-30,2,1.0
2020-03-31,2,0.0
2020-04-01,3,1.0
2020-04-02,4,1.0
2020-04-03,4,0.0
2020-04-04,5,1.0
2020-04-05,5,0.0
2020-04-06,5,0.0
2020-04-07,6,1.0
2020-04-08,7,1.0
2020-04-09,7,0.0
2020-04-10,7,0.0
2020-04-11,7,0.0
2020-04-12,7,0.0
2020-04-13,7,0.0
2020-04-14,7,0.0
2020-04-15,7,0.0
2020-04-16,7,0.0
2020-04-17,7,0.0
2020-04-18,7,0.0
2020-04-19,7,0.0
2020-04-20,7,0.0
2020-04-21,7,0.0
2020-04-22,7,0.0
2020-04-23,7,0.0
2020-04-24,7,0.0
2020-04-25,7,0.0
2020-04-26,7,0.0
2020-04-27,7,0.0
2020-04-28,7,0.0
2020-04-29,7,0.0
2020-04-30,7,0.0
2020-05-01,7,0.0
2020-05-02,7,0.0
2020-05-03,7,0.0
2020-05-04,8,1.0
2020-05-05,9,1.0
2020-05-06,9,0.0
2020-05-07,9,0.0
2020-05-08,9,0.0
2020-05-09,9,0.0
2020-05-10,9,0.0
2020-05-11,9,0.0
2020-05-12,9,0.0
2020-05-13,9,0.0
2020-05-14,9,0.0
2020-05-15,9,0.0
2020-05-16,9,0.0
2020-05-17,9,0.0
2020-05-18,9,0.0
2020-05-19,9,0.0
2020-05-20,9,0.0
2020-05-21,9,0.0
2020-05-22,9,0.0
2020-05-23,9,0.0
2020-05-24,9,0.0
2020-05-25,10,1.0
2020-05-26,10,0.0
2020-05-27,10,0.0
2020-05-28,10,0.0
2020-05-29,10,0.0
2020-05-30,10,0.0
2020-05-31,10,0.0
2020-06-01,11,1.0
2020-06-02,11,0.0
2020-06-03,11,0.0
2020-06-04,11,0.0
2020-06-05,11,0.0
2020-06-06,11,0.0
2020-06-07,11,0.0
2020-06-08,11,0.0
2020-06-09,11,0.0
2020-06-10,11,0.0
2020-06-11,11,0.0
2020-06-12,11,0.0
