Day,one_dose_daily,two_dose_daily
2020-12-27,2334.5999999999995,0.0
2020-12-28,2334.5999999999995,0.0
2020-12-29,1167.3000000000002,0.0
2020-12-30,2334.5999999999995,0.0
2020-12-31,0.0,0.0
2021-01-01,1167.300000000002,0.0
2021-01-02,1167.2999999999984,0.0
2021-01-03,0.0,0.0
2021-01-04,1167.2999999999993,0.0
2021-01-05,0.0,0.0
2021-01-06,0.0,0.0
2021-01-07,0.0,0.0
2021-01-08,0.0,0.0
2021-01-09,0.0,0.0
2021-01-10,0.0,0.0
2021-01-11,0.0,0.0
2021-01-12,0.0,0.0
2021-01-13,0.0,0.0
2021-01-14,0.0,0.0
2021-01-15,0.0,0.0
2021-01-16,0.0,0.0
2021-01-17,0.0,1167.3
2021-01-18,0.0,1167.3
2021-01-19,1167.300000000001,4669.199999999999
2021-01-20,0.0,0.0
2021-01-21,10505.7,0.0
2021-01-22,0.0,0.0
2021-01-23,0.0,0.0
2021-01-24,23346.000000000004,2334.6000000000004
2021-01-25,0.0,0.0
2021-01-26,0.0,0.0
2021-01-27,0.0,0.0
2021-01-28,49026.60000000001,0.0
2021-01-29,1167.2999999999738,0.0
2021-01-30,4669.200000000012,0.0
2021-01-31,7003.799999999988,0.0
2021-02-01,8171.099999999991,0.0
2021-02-02,4669.200000000026,0.0
2021-02-03,4669.200000000012,0.0
2021-02-04,1167.2999999999884,0.0
2021-02-05,0.0,0.0
2021-02-06,3501.899999999994,0.0
2021-02-07,4669.199999999997,0.0
2021-02-08,4669.199999999983,1167.2999999999993
2021-02-09,3501.899999999994,0.0
2021-02-10,5836.500000000029,5836.500000000004
2021-02-11,0.0,2334.5999999999967
2021-02-12,0.0,0.0
2021-02-13,3501.899999999994,9338.399999999998
2021-02-14,2334.600000000006,14007.6
2021-02-15,4669.200000000012,14007.6
2021-02-16,5836.499999999971,14007.600000000006
2021-02-17,5836.5,15174.899999999994
2021-02-18,2334.600000000006,2334.600000000006
2021-02-19,0.0,0.0
2021-02-20,5836.500000000029,7003.8000000000175
2021-02-21,5836.5,7003.799999999974
2021-02-22,8171.099999999977,5836.5
2021-02-23,8171.100000000006,5836.500000000015
2021-02-24,0.0,1167.2999999999884
2021-02-25,1167.2999999999884,1167.2999999999884
2021-02-26,1167.2999999999884,0.0
2021-02-27,9338.400000000023,7003.800000000032
2021-02-28,14007.600000000006,3501.899999999994
2021-03-01,16342.199999999984,4669.200000000012
2021-03-02,17509.5,4669.199999999968
2021-03-03,18676.800000000017,3501.899999999994
2021-03-04,4669.200000000012,1167.3000000000177
2021-03-05,2334.5999999999767,0.0
2021-03-06,12840.299999999988,2334.5999999999767
2021-03-07,14007.600000000037,3501.9000000000237
2021-03-08,16342.199999999952,4669.200000000012
2021-03-09,15174.900000000023,5836.5
2021-03-10,16342.199999999952,7003.799999999959
2021-03-11,4669.20000000007,0.0
2021-03-12,2334.5999999999767,0.0
2021-03-13,12840.299999999988,5836.500000000029
2021-03-14,14007.599999999977,5836.5
2021-03-15,14007.600000000091,4669.200000000012
2021-03-16,16342.199999999952,5836.5
2021-03-17,25680.59999999992,2334.5999999999767
2021-03-18,9338.400000000023,0.0
2021-03-19,3501.9000000000237,0.0
2021-03-20,21011.400000000023,7003.8000000000175
2021-03-21,25680.600000000035,8171.099999999977
2021-03-22,30349.79999999999,8171.100000000035
2021-03-23,28015.199999999957,8171.099999999948
2021-03-24,33851.70000000007,9338.400000000023
2021-03-25,3501.9000000000237,1167.2999999999884
2021-03-26,2334.5999999999767,1167.2999999999884
2021-03-27,21011.399999999907,7003.800000000047
2021-03-28,24513.29999999993,5836.499999999971
2021-03-29,26847.90000000014,4669.200000000012
2021-03-30,19844.099999999977,4669.200000000012
2021-03-31,17509.500000000116,5836.5
2021-04-01,5836.499999999884,1167.2999999999884
2021-04-02,0.0,1167.3000000000466
2021-04-03,8171.09999999986,4669.199999999924
2021-04-04,7003.800000000047,3501.9000000000237
2021-04-05,5836.5,3501.899999999965
2021-04-06,22178.700000000183,3501.900000000081
2021-04-07,32684.39999999979,3501.899999999965
2021-04-08,8171.100000000093,0.0
2021-04-09,2334.600000000093,1167.2999999999884
2021-04-10,36186.29999999981,3501.899999999965
2021-04-11,44357.40000000002,3501.900000000081
2021-04-12,47859.29999999993,2334.5999999999767
2021-04-13,52528.50000000023,2334.5999999999767
2021-04-14,52528.49999999988,1167.2999999999884
2021-04-15,14007.600000000091,1167.3000000000466
2021-04-16,3501.899999999907,1167.2999999999884
2021-04-17,36186.30000000005,2334.5999999999767
2021-04-18,32684.399999999907,9338.400000000023
2021-04-19,39688.19999999995,14007.599999999977
2021-04-20,38520.90000000014,12840.299999999988
2021-04-21,45524.69999999995,5836.5
2021-04-22,12840.300000000048,1167.3000000000466
2021-04-23,4669.200000000186,0.0
2021-04-24,42022.79999999981,3501.899999999965
2021-04-25,45524.69999999995,2334.600000000035
2021-04-26,35019.0,2334.5999999999767
2021-04-27,8171.100000000093,1167.2999999999884
2021-04-28,22178.699999999957,14007.600000000037
2021-04-29,7003.800000000047,4669.199999999953
2021-04-30,3501.899999999907,0.0
2021-05-01,16342.199999999952,32684.40000000008
2021-05-02,19844.100000000093,40855.49999999994
2021-05-03,15174.899999999909,26847.900000000023
